instance,related,sen_score,stem
resolve,knowledge,0.6,knowledg
customer care,knowledgeable,0.6,knowledg
call,neucoins resolved,0.6,neucoins resolv
payment,options found,0.6,options found
app,promoting,0.6,promot
service,prompt,0.6,prompt
support,reason contacting,0.6,reason contact
call,received another,0.6,received anoth
communication,received,0.6,receiv
call,received neither,0.6,received neith
communication,resolved,0.6,resolv
call,resolved know,0.6,resolved know
resolve,resolved plz,0.6,resolved plz
payment,resolved yet,0.6,resolved yet
interface,smooth,0.6,smooth
app,smooth interface,0.6,smooth interfac
app,smoothly,0.6,smoothli
call,still received,0.6,still receiv
update,still received,0.6,still receiv
customer care,thanks,0.6,thank
support,thanks instant,0.6,thanks inst
response,thanks quick,0.6,thanks quick
app,ui smoothly,0.6,ui smoothli
app,usable,0.6,usabl
interface,use smooth,0.6,use smooth
app,wit,0.6,wit
resolve,without knowledge,0.6,without knowledg
communication,yet resolved,0.6,yet resolv
payment,option working,0.65,option work
service,chance credit,0.65,chance credit
service,giving actual,0.65,giving actu
experience,new payment,0.7,new pay
service,good,0.75,good
app,good,0.75,good
experience,good,0.75,good
response,good,0.75,good
app,user friendly,0.75,user friendli
experience,happy,0.75,happi
interface,good,0.75,good
support,good,0.75,good
app,beautiful,0.75,beauti
app,beautiful ui,0.75,beautiful ui
app,benefit,0.75,benefit
app,benefit get,0.75,benefit get
app,experience good,0.75,experience good
app,feel safe,0.75,feel saf
app,good also,0.75,good also
app,good customer,0.75,good custom
app,good experience,0.75,good experi
app,good nothing,0.75,good noth
app,helpful,0.75,help
app,helpful stage,0.75,helpful stag
app,needs improved,0.75,needs improv
app,needs mature,0.75,needs matur
app,overall good,0.75,overall good
app,proud,0.75,proud
app,proud indian,0.75,proud indian
app,shop good,0.75,shop good
app,slow please,0.75,slow pleas
app,tata super,0.75,tata sup
experience,good can,0.75,good can
experience,good far,0.75,good far
experience,good light,0.75,good light
experience,happy issue,0.75,happy issu
experience,happy one,0.75,happy on
experience,somewhat good,0.75,somewhat good
refund,fair,0.75,fair
refund,impressive,0.75,impress
interface,bot friendly,0.75,bot friendli
interface,good looks,0.75,good look
interface,user friendly,0.75,user friendli
payment,congratulations,0.75,congratul
payment,congratulations tatas,0.75,congratulations tata
payment,earn benefit,0.75,earn benefit
response,also good.to,0.75,also good.to
response,good behaviour,0.75,good behaviour
response,website friendly,0.75,website friendli
service,executive good,0.75,executive good
service,good customer,0.75,good custom
service,good need,0.75,good ne
service,improve,0.75,improv
service,improve representing,0.75,improve repres
support,keep good,0.75,keep good
support,team good,0.75,team good
app,improve,0.75,improv
behaviour,good,0.75,good
customer care,good,0.75,good
payment,improve,0.75,improv
app,super,0.75,super
app,accessible,0.75,access
experience,app good,0.75,app good
interface,beautiful ui,0.75,beautiful ui
communication,bot friendly,0.75,bot friendli
resolve,courteous able,0.75,courteous 
resolve,eager listen,0.75,eager listen
update,fantastic next,0.75,fantastic next
app,friendly,0.75,friendli
communication,friendly,0.75,friendli
interface,friendly design,0.75,friendly design
response,getting good,0.75,getting good
payment,good however,0.75,good howev
payment,good,0.75,good
response,good quick,0.75,good quick
app,good tata,0.75,good tata
app,good think,0.75,good think
customer care,happy,0.75,happi
support,happy customer,0.75,happy custom
service,happy quick,0.75,happy quick
support,happy,0.75,happi
app,happy way,0.75,happy wai
support,helpful time,0.75,helpful tim
app,idea super,0.75,idea sup
service,impressive,0.75,impress
service,improve app,0.75,improve app
service,improve customer,0.75,improve custom
response,improve,0.75,improv
app,improve total,0.75,improve tot
app,improve ur,0.75,improve ur
app,improvement,0.75,improv
app,improvement needed,0.75,improvement need
service,improvement portal,0.75,improvement port
app,interesting,0.75,interest
app,laptop worth,0.75,laptop worth
app,love presentation,0.75,love present
app,loving,0.75,love
payment,make good,0.75,make good
support,much happy,0.75,much happi
app,need improvement,0.75,need improv
service,neu good,0.75,neu good
app,non responsive,0.75,non respons
experience,overall good,0.75,overall good
app,part accessible,0.75,part access
payment,peace inspite,0.75,peace inspit
customer care,perfect,0.75,perfect
call,promise,0.75,promis
behaviour,response good,0.75,response good
app,responsive,0.75,respons
app,reward whole,0.75,reward whol
app,super flop,0.75,super flop
app,ur super,0.75,ur sup
app,wonderful,0.75,wonder
app,work beneficial,0.75,work benefici
app,worth,0.75,worth
app,new,0.8,new
service,available,0.8,avail
service,affordable,0.8,afford
app,app ready,0.8,app readi
app,ready,0.8,readi
app,india better,0.8,india bett
app,need provide,0.8,need provid
app,new many,0.8,new mani
app,new understand,0.8,new understand
app,now shared,0.8,now shar
app,paid refund,0.8,paid refund
app,provide,0.8,provid
app,provide features,0.8,provide featur
app,ready market,0.8,ready market
app,solve,0.8,solv
app,well,0.8,well
app,well days,0.8,well dai
refund,refund,0.8,refund
call,resolve,0.8,resolv
call,resolve issue,0.8,resolve issu
call,well,0.8,well
call,well email,0.8,well email
service,well,0.8,well
support,better,0.8,better
customer care,shared,0.8,share
customer care,solve,0.8,solv
customer care,well,0.8,well
service,professional,0.8,profession
service,solve,0.8,solv
support,resolve,0.8,resolv
resolve,solve,0.8,solv
payment,new,0.8,new
experience,able solve,0.8,able solv
experience,new,0.8,new
experience,professional,0.8,profession
experience,professional approach,0.8,professional approach
experience,without solving,0.8,without solv
service,new,0.8,new
support,wish,0.8,wish
interface,effective,0.8,effect
interface,effective responses,0.8,effective respons
payment,easier.but,0.8,easier.but
payment,easier.but subsequent,0.8,easier.but subsequ
payment,features refund,0.8,features refund
payment,filled refund,0.8,filled refund
payment,gateway refund,0.8,gateway refund
payment,new customers,0.8,new custom
support,partner,0.8,partner
refund,refund process,0.8,refund process
resolve,solve issue,0.8,solve issu
response,executive better,0.8,executive bett
response,query shared,0.8,query shar
response,transaction eligible,0.8,transaction elig
service,affordable cab,0.8,affordable cab
service,available area,0.8,available area
service,available waiting,0.8,available wait
service,needs better,0.8,needs bett
service,new tata,0.8,new tata
service,professional way,0.8,professional wai
service,representative well,0.8,representative wel
service,well also,0.8,well also
service,wish,0.8,wish
service,wish guys,0.8,wish gui
update,refund,0.8,refund
support,app new,0.8,app new
support,better choose,0.8,better choos
support,partner issue,0.8,partner issu
support,resolve issues,0.8,resolve issu
support,suggested resolve,0.8,suggested resolv
update,refund supposed,0.8,refund suppos
app,better,0.8,better
app,tata new,0.8,tata new
call,answer better,0.8,answer bett
refund,ask refund,0.8,ask refund
experience,assurances,0.8,assur
app,available,0.8,avail
payment,available complete,0.8,available complet
payment,available upi,0.8,available upi
call,better,0.8,better
experience,better,0.8,better
experience,better user,0.8,better us
interface,better user,0.8,better us
app,cashback,0.8,cashback
service,coins available,0.8,coins avail
app,common new,0.8,common new
experience,easier.but subsequent,0.8,easier.but subsequ
update,executive new,0.8,executive new
payment,experience new,0.8,experience new
response,get satisfactory,0.8,get satisfactori
experience,improvements user,0.8,improvements us
service,incapability provide,0.8,incapability provid
app,it.since new,0.8,it.since new
app,market better,0.8,market bett
app,much better,0.8,much bett
app,navigate partner,0.8,navigate partn
app,new tata,0.8,new tata
app,new tataneu,0.8,new tataneu
update,new,0.8,new
experience,overall better,0.8,overall bett
app,partner,0.8,partner
response,phone well,0.8,phone wel
app,product available,0.8,product avail
app,provide proof,0.8,provide proof
service,provide,0.8,provid
service,provide service,0.8,provide servic
service,ready give,0.8,ready g
call,right now,0.8,right now
response,satisfactory,0.8,satisfactori
app,saved one,0.8,saved on
service,solved customer,0.8,solved custom
response,swiftness promptness,0.8,swiftness prompt
app,use new,0.8,use new
response,well email,0.8,well email
response,well,0.8,well
communication,clear information,0.9,clear inform
call,customer care,1,customer car
resolve,issue please,1,issue pleas
response,customer care,1,customer car
app,please,1,pleas
experience,customer care,1,customer car
service,customer care,1,customer car
update,customer care,1,customer car
app,affecting enjoyment,1,affecting enjoy
app,customer care,1,customer car
app,please lunch,1,please lunch
app,please response,1,please respons
app,please update,1,please upd
app,request please,1,request pleas
app,superb,1,superb
app,user-friendly,1,user-friendli
app,user-friendly many,1,user-friendly mani
call,one care,1,one car
communication,patiently,1,patient
communication,patiently explained,1,patiently explain
service,excellent,1,excel
payment,approved,1,approv
payment,approved tata,1,approved tata
service,desk please,1,desk pleas
service,excellent quick,1,excellent quick
service,reacting properly,1,reacting properli
service,representative understanding,1,representative understand
support,customer care,1,customer car
service,care,1,care
resolve,please,1,pleas
update,please,1,pleas
support,care,1,care
service,excellent customer,1,excellent custom
support,excellent,1,excel
call,please,1,pleas
service,satisfied,1,satisfi
response,app please,1,app pleas
update,app please,1,app pleas
payment,application stable,1,application st
resolve,bugs please,1,bugs pleas
call,care,1,care
resolve,care executive,1,care execut
response,care executive,1,care execut
support,care person,1,care person
response,care representative's,1,care representative'
app,care team,1,care team
communication,excellent,1,excel
support,excellent customer,1,excellent custom
resolve,good work,1,good work
call,neu please,1,neu pleas
experience,pleasant,1,pleasant
response,please,1,pleas
app,please use,1,please us
service,process satisfied,1,process satisfi
payment,properly implemented,1,properly impl
customer care,satisfied,1,satisfi
service,satisfy customer,1,satisfy custom
payment,stable,1,stabl
handling,superb,1,superb
service,superb,1,superb
resolve,twice please,1,twice pleas
app,working well,1.05,working wel
app,thanks support,1.1,thanks support
call,courtesy discretion,1.1,courtesy discret
response,resolved proper,1.1,resolved prop
support,thanks kind,1.1,thanks kind
app,option good,1.15,option good
resolve,knowledge capability,1.2,knowledge cap
refund,straight forward,1.2,straight forward
app,working properly,1.25,working properli
refund,impressive liked,1.25,impressive lik
response,good accurate,1.25,good accur
service,good hope,1.25,good hop
support,good best,1.25,good best
behaviour,polite good,1.25,polite good
service,good polite,1.25,good polit
support,helpful thank,1.25,helpful thank
payment,kindly improve,1.25,kindly improv
payment,please work,1.25,please work
support,wish best,1.3,wish best
payment,improve smooth,1.35,improve smooth
experience,received new,1.4,received new
experience,good love,1.5,good lov
service,good improve,1.5,good improv
app,good improve,1.5,good improv
refund,fair refund,1.55,fair refund
service,good better,1.55,good bett
service,provide good,1.55,provide good
refund,refund fair,1.55,refund fair
app,improvements new,1.6,improvements new
support,thanks excellent,1.6,thanks excel
service,good excellent,1.75,good excel
payment,please improve,1.75,please improv
response,please improve,1.75,please improv
update,friend please,1.8,friend pleas
